Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Mike Trout,Angels,10155,159,686,538,159,30,3,45,124,115,128,140,13,17,4,0.296,0.439,0.614,1.053,0.427,-0.9,3.4,9.1,2.3
Alex Bregman,Astros,17678,152,658,548,158,38,2,33,107,105,95,86,9,8,3,0.287,0.398,0.546,0.943,0.393,-0.4,0.3,6.7,15.8
Cody Bellinger,Dodgers,15998,151,651,554,161,32,4,42,106,120,89,123,3,14,4,0.29,0.389,0.585,0.973,0.394,3.3,1.5,6.5,4.4
Francisco Lindor,Indians,12916,154,665,595,172,38,2,33,107,89,56,95,5,21,6,0.289,0.353,0.527,0.88,0.362,8.4,1,5.8,8.2
Matt Chapman,Athletics,16505,154,665,582,147,36,4,35,97,97,68,164,9,3,2,0.252,0.337,0.506,0.843,0.351,11.6,0.7,5.6,89.3
Christian Yelich,Brewers,11477,151,651,556,169,34,4,35,106,104,82,134,7,23,5,0.304,0.397,0.569,0.966,0.397,0.9,3.9,5.6,2.5
Mookie Betts,Dodgers,13611,154,665,575,165,37,4,31,114,88,77,95,5,18,4,0.287,0.373,0.53,0.903,0.374,6.5,4.2,5.4,6
Juan Soto,Nationals,20123,154,665,549,161,32,4,35,106,116,108,125,3,10,3,0.294,0.41,0.561,0.971,0.402,-1.5,0.6,5.3,11
Anthony Rendon,Angels,12861,149,644,555,156,37,2,28,93,100,73,96,8,5,2,0.28,0.368,0.503,0.872,0.363,4.7,0.7,5.3,22.4
Jose Ramirez,Indians,13510,151,651,569,159,41,4,31,97,103,71,84,5,27,7,0.28,0.361,0.525,0.887,0.367,3.5,4.4,5.3,16.9
Nolan Arenado,Rockies,9777,157,679,601,179,37,3,40,103,121,68,108,4,3,2,0.297,0.369,0.57,0.939,0.383,7.5,0.2,5.1,15.1
Yasmani Grandal,White Sox,11368,136,545,453,107,20,1,25,69,71,84,132,3,3,2,0.237,0.358,0.455,0.814,0.346,5.7,-2.6,5,99.5
Josh Donaldson,Twins,5038,144,623,520,135,28,1,33,92,96,93,146,6,4,2,0.26,0.376,0.504,0.88,0.37,2,-0.4,4.8,91.3
George Springer,Astros,12856,144,623,538,147,25,2,33,103,90,71,126,7,7,4,0.273,0.364,0.51,0.873,0.366,-0.2,0.1,4.7,49.9
Carlos Correa,Astros,14162,138,595,517,140,30,2,30,83,103,68,133,4,3,1,0.271,0.356,0.506,0.862,0.359,-0.5,0.6,4.7,107.6
Ronald Acuna Jr.,Braves,18401,152,658,577,164,28,3,36,109,95,68,160,7,31,9,0.284,0.366,0.531,0.897,0.373,2,3.3,4.7,1.3
Aaron Judge,Yankees,15640,131,567,471,121,20,1,35,91,87,86,178,5,5,3,0.257,0.375,0.53,0.905,0.375,8.6,0.1,4.7,31.1
Marcus Semien,Athletics,12533,156,672,593,161,35,4,26,96,81,69,109,2,12,5,0.272,0.347,0.476,0.823,0.346,-0.5,0.8,4.7,96
Xander Bogaerts,Red Sox,12161,152,658,581,169,40,2,26,96,99,66,116,5,7,2,0.29,0.364,0.499,0.863,0.362,-3.8,1.4,4.5,43.4
Kris Bryant,Cubs,15429,149,644,548,149,33,2,30,98,84,75,143,16,5,2,0.272,0.373,0.507,0.88,0.369,-1.6,1.9,4.5,58.7
J.T. Realmuto,Phillies,11739,139,552,501,137,30,3,24,75,80,39,112,7,7,2,0.273,0.331,0.488,0.819,0.341,5.6,1.8,4.4,49.4
Jose Altuve,Astros,5417,149,644,578,174,32,3,25,96,86,53,92,6,14,5,0.3,0.363,0.494,0.858,0.36,-3.3,-0.3,4.4,38.1
Ozzie Albies,Braves,16556,152,658,600,174,39,7,25,97,83,47,100,5,15,4,0.29,0.344,0.502,0.847,0.352,5.7,2.7,4.4,35
Rafael Devers,Red Sox,17350,152,658,601,178,43,3,32,103,107,48,116,3,9,5,0.296,0.35,0.539,0.889,0.366,-2,0.7,4.4,23.1
