Name,Team,playerid,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,ADP
Ronald Acuna Jr.,Braves,18401,150,680,593,168,29,3,37,107,94,70,166,7,29,11,0.283,0.363,0.528,0.891,0.37,127,2.9,0,27.5,-3.4,4.5,1.3
Mike Trout,Angels,10155,150,675,528,157,29,3,44,124,112,126,136,12,14,5,0.297,0.439,0.612,1.051,0.427,173,3.1,-1.7,66.3,0.6,8.8,2.3
Christian Yelich,Brewers,11477,150,672,570,174,35,4,36,112,100,86,137,7,22,7,0.305,0.4,0.569,0.969,0.398,145,3.3,0.7,43.5,-6.7,5.7,2.5
Cody Bellinger,Dodgers,15998,150,640,544,156,30,3,42,100,116,86,117,4,12,5,0.287,0.386,0.584,0.97,0.392,147,1.2,0.8,41,0.4,6,4.4
Mookie Betts,Dodgers,13611,150,688,589,165,38,3,32,112,87,82,101,6,17,5,0.28,0.371,0.516,0.887,0.369,132,4.5,12.6,33.3,5.3,5.9,6
Francisco Lindor,Indians,12916,150,692,616,178,39,2,35,112,95,60,99,6,22,7,0.289,0.355,0.532,0.887,0.365,125,0.7,7.8,22.7,15.3,6.1,8.2
Trea Turner,Nationals,16252,149,683,610,177,36,5,22,103,75,57,127,5,39,10,0.291,0.354,0.472,0.826,0.348,112,5,-2.5,15.5,5,4.1,9.3
Trevor Story,Rockies,12564,150,652,582,162,36,4,36,98,101,57,173,6,20,8,0.279,0.347,0.542,0.888,0.367,112,1.8,0.1,12.1,7.6,4,10.2
Juan Soto,Nationals,20123,150,646,534,156,30,4,34,97,106,102,122,4,9,4,0.293,0.407,0.556,0.963,0.4,146,0.1,-1.9,38.9,-9.4,4.9,11
Nolan Arenado,Rockies,9777,150,657,580,172,35,3,40,100,114,67,106,5,3,2,0.296,0.371,0.572,0.943,0.385,124,0.5,5.3,21.2,7.8,4.9,15.1
Fernando Tatis Jr.,Padres,19709,146,652,581,154,24,7,30,90,80,54,175,7,23,9,0.265,0.333,0.485,0.818,0.342,113,1.7,-2.8,12.6,4.5,3.7,15.6
Alex Bregman,Astros,17678,150,658,549,158,38,2,33,106,102,94,85,9,6,3,0.287,0.396,0.542,0.938,0.391,150,0.1,-1.8,42.2,0.9,6.4,15.8
Jose Ramirez,Indians,13510,150,648,564,157,39,3,31,96,101,72,84,5,23,8,0.278,0.362,0.523,0.885,0.366,126,3.9,2.7,25.1,5.2,5.2,16.9
Freddie Freeman,Braves,5361,150,662,568,167,36,2,33,98,103,81,126,7,6,3,0.293,0.385,0.542,0.927,0.382,135,0.5,3.4,31.1,-9.1,4.2,18.6
Anthony Rendon,Angels,12861,149,651,562,160,37,2,28,92,98,75,95,8,4,2,0.284,0.374,0.507,0.881,0.367,133,0.9,4.2,28.2,6.7,5.6,22.4
Rafael Devers,Red Sox,17350,150,640,579,174,42,3,32,95,103,49,113,4,9,5,0.3,0.356,0.547,0.903,0.371,129,1.5,-1,24.8,1.3,4.7,23.1
Bryce Harper,Phillies,11579,150,664,544,141,29,1,41,102,102,107,165,5,11,4,0.259,0.383,0.541,0.925,0.38,134,0.3,0,30.6,-7.5,4.3,23.1
J.D. Martinez,Red Sox,6184,150,649,570,172,34,2,39,101,119,69,148,4,3,1,0.302,0.378,0.577,0.955,0.391,142,-3.1,-0.4,31.7,-17.5,3.6,24
Starling Marte,Diamondbacks,9241,141,628,574,163,31,6,23,85,81,34,117,12,25,9,0.284,0.335,0.481,0.815,0.341,109,1.5,-3.2,8.8,-0.9,2.7,27.2
Aaron Judge,Yankees,15640,131,586,485,123,21,1,36,93,89,88,181,5,5,2,0.254,0.372,0.525,0.897,0.372,134,0.4,6.8,25.9,0,4.5,31.1
Gleyber Torres,Yankees,16997,144,594,531,145,25,1,33,82,94,51,123,5,6,3,0.272,0.339,0.51,0.849,0.352,121,-0.2,-8.4,15.4,-1.2,3.4,31.9
Peter Alonso,Mets,19251,150,663,573,145,27,2,44,98,105,68,167,14,2,1,0.252,0.344,0.535,0.878,0.362,128,-0.5,1.3,24.2,-11.2,3.3,33.2
Adalberto Mondesi,Royals,13769,139,607,565,143,27,8,19,77,71,31,163,3,46,13,0.254,0.293,0.431,0.724,0.303,85,4.5,4.1,-7,11,2.5,33.6
Ozzie Albies,Braves,16556,150,652,590,169,37,6,24,90,83,48,100,5,14,5,0.287,0.344,0.491,0.835,0.348,113,2.6,4.4,13.6,6.9,4,35
Austin Meadows,Rays,15672,136,603,539,147,29,5,27,84,82,49,123,6,14,6,0.272,0.338,0.493,0.831,0.345,119,0.6,-2.2,15,-8.9,2.7,36
Jonathan Villar,Marlins,10071,150,662,589,152,28,4,17,79,65,59,169,5,33,10,0.258,0.327,0.408,0.735,0.315,97,3.1,-7.2,0,-3.5,1.7,37.8
Jose Altuve,Astros,5417,149,669,597,177,34,4,24,99,92,57,99,7,12,4,0.296,0.361,0.487,0.848,0.357,127,-0.5,-4.3,22.2,-1.9,4.3,38.1
Yordan Alvarez,Astros,19556,134,568,490,135,27,1,37,88,101,68,139,4,3,1,0.276,0.366,0.557,0.923,0.377,141,-0.2,0,29.3,-15.7,3.3,39.4
Javier Baez,Cubs,12979,150,637,593,162,34,4,33,84,100,33,169,4,14,6,0.273,0.313,0.508,0.821,0.337,107,2,-1.6,7.6,5.9,3.3,39.5
Xander Bogaerts,Red Sox,12161,150,649,571,167,40,1,25,91,95,66,114,5,6,2,0.292,0.368,0.499,0.867,0.364,124,1.5,-2.5,21.1,5,4.8,43.4
Keston Hiura,Brewers,20003,144,606,549,149,32,3,29,78,91,41,160,10,12,6,0.272,0.331,0.496,0.827,0.344,110,0.2,-5.9,8.4,-3.5,2.4,44.8
